우편번호,위도,경도,평균_크기,평균_변환_전세(만원),지역구분코드,오피스텔비율,총거래수량,월세_비율(%),신축_비율(%),버스정류장,미술관 & 전시관,자전거대여소,헬스클럽,성당,병원,공연장,공원,영화관,지하철역,동물병원,뷰티케어,코인노래방,도서관,교회,대형마트,공공체육시설,카페 & 디저트,경찰서,생활용품점,술집,쇼핑센터,슈퍼마켓,약국,반찬가게 & 밀키트,편의점,은행,코인세탁방,요가,크로스핏,ATM,음식점,우체국,PC방,필라테스,주민센터,절
3969,37.56027725,126.9093867,46.23575758,22720.64935,0,0.0,33,30.3030303,27.27272727,19,1,3,11,1,57,2,1,0,1,3,0,2,0,16,0,0,144,0,0,57,0,12,8,4,27,3,2,4,1,14,256,0,10,4,2,1
3970,37.56094714,126.9073846,36.2862069,22748.02956,0,0.0,58,41.37931034,63.79310345,26,1,4,10,1,34,3,1,0,0,3,1,0,0,16,0,0,177,0,0,60,0,14,7,5,29,1,5,2,1,15,287,0,9,5,3,2
3971,37.55900031,126.9090135,25.68433333,16131.42857,0,0.0,60,55.0,23.33333333,21,2,4,13,1,86,3,1,0,1,5,2,2,0,17,0,0,206,0,0,78,0,17,14,7,26,3,4,5,1,14,317,0,9,7,2,1
3972,37.56484339,126.9135484,33.31818182,19908.22338,0,0.454545455,55,56.36363636,38.18181818,23,4,4,2,1,5,0,1,0,1,4,0,0,0,14,0,0,83,0,0,11,0,8,4,0,17,2,4,1,0,12,104,1,1,1,1,2
3973,37.56437665,126.9148377,34.37509804,21268.76751,0,0.0,51,58.82352941,54.90196078,35,4,3,2,0,6,0,1,0,0,2,0,0,0,12,0,0,91,0,0,9,0,7,3,0,15,2,4,1,0,9,88,1,1,2,1,1
3974,37.56495925,126.9168083,39.07196721,23560.46838,0,0.0,61,45.90163934,49.18032787,37,5,5,6,0,15,1,1,0,1,1,0,0,0,12,0,0,136,0,1,14,0,6,6,1,17,1,3,1,0,9,91,0,1,3,1,0
3975,37.56487387,126.9188315,37.18311688,21371.22263,0,0.0,77,44.15584416,62.33766234,31,10,3,8,0,9,1,1,0,0,1,0,0,0,11,0,0,224,0,0,10,0,5,3,1,20,0,4,2,0,8,80,0,1,3,1,0
3976,37.56584307,126.9191055,32.6746875,36549.10714,0,0.0,32,75.0,100.0,27,9,4,8,0,12,1,1,0,1,0,0,0,0,12,0,0,199,0,1,14,0,6,4,1,17,1,4,2,0,9,67,1,1,3,1,0
3977,37.5625375,126.9186504,27.20148148,13797.8836,0,0.0,27,70.37037037,7.407407407,28,10,3,8,0,13,3,1,0,0,1,0,0,0,10,0,0,266,0,0,15,0,9,2,1,27,2,6,2,0,15,131,0,1,5,1,1
3978,37.56197338,126.9163076,23.91666667,12793.51852,0,0.222222222,54,53.7037037,27.77777778,31,8,1,5,0,13,1,0,0,0,1,0,0,0,15,0,0,135,0,0,10,0,5,4,1,23,2,6,2,0,11,108,0,1,2,0,2
3979,37.56529689,126.9210823,36.14382353,21934.29832,0,0.0,34,70.58823529,55.88235294,27,8,5,7,0,9,1,1,0,0,0,0,1,0,13,0,0,287,0,0,19,0,7,2,1,17,0,5,1,0,6,126,0,0,3,1,0
3980,37.56497845,126.9240106,34.50470588,16781.09244,0,0.0,34,52.94117647,29.41176471,22,15,5,10,0,15,3,1,0,0,1,1,1,0,13,0,0,405,0,0,46,0,8,3,0,24,1,2,1,0,8,258,0,2,9,1,0
3981,37.56342316,126.9267953,36.49818182,19407.46753,0,0.0,11,63.63636364,27.27272727,24,17,7,14,1,28,2,0,1,0,1,1,3,0,16,0,0,435,1,1,80,0,13,8,1,31,1,4,1,0,10,312,0,2,11,1,0
3982,37.56202778,126.9257026,24.695,15877.5,0,0.0,6,100.0,66.66666667,21,18,7,12,1,30,4,0,1,2,1,3,3,0,15,0,0,455,1,2,85,1,12,7,1,34,4,5,6,0,15,279,0,4,8,1,1
3983,37.56356384,126.9243314,25.07043956,16707.92779,0,0.0,91,72.52747253,53.84615385,21,17,5,12,1,18,3,1,0,0,1,0,2,0,13,0,0,458,1,0,76,0,10,4,1,29,2,4,2,0,10,281,0,2,8,1,0
3984,37.56257038,126.9231997,31.0647619,19453.23129,0,0.0,42,69.04761905,14.28571429,22,15,6,10,0,27,4,1,0,0,0,2,3,0,15,0,0,486,1,0,78,0,9,6,1,31,2,5,6,0,13,278,0,2,9,1,1
3985,37.5600491,126.9255618,34.652,20373.80952,0,0.0,15,60.0,0.0,20,21,6,16,0,75,6,1,4,3,2,5,6,0,16,0,0,469,1,2,135,1,13,15,1,38,6,7,6,0,22,299,1,10,15,0,2
3986,37.56010263,126.91783,25.94034483,17307.27586,0,0.0,29,68.96551724,37.93103448,32,11,5,13,0,22,4,0,0,0,3,0,0,0,20,0,0,196,0,0,21,0,9,5,2,30,3,7,5,0,15,127,0,2,4,0,2
